iter	Passed	Remaining
1259	3179	797
1260	3182	794
1261	3184	792
1262	3190	789
1263	3192	787
1264	3195	784
1265	3197	781
1266	3199	778
1267	3201	775
1268	3204	772
1269	3206	769
1270	3208	767
1271	3214	765
1272	3216	762
1273	3218	759
1274	3221	756
1275	3223	753
1276	3226	750
1277	3228	747
1278	3230	745
1279	3236	742
1280	3238	740
1281	3240	737
1282	3243	734
1283	3245	731
1284	3247	728
1285	3250	725
1286	3252	723
1287	3257	720
1288	3260	718
1289	3262	715
1290	3264	712
1291	3267	709
1292	3269	706
1293	3272	703
1294	3274	701
1295	3276	698
1296	3278	695
1297	3281	692
1298	3283	689
1299	3286	686
1300	3288	684
1301	3290	681
1302	3293	678
1303	3295	675
1304	3297	672
1305	3300	669
1306	3302	667
1307	3304	664
1308	3306	661
1309	3309	658
1310	3311	655
1311	3313	652
1312	3316	650
1313	3318	647
1314	3320	644
1315	3323	641
1316	3325	638
1317	3325	638
1318	3325	638
1319	3327	630
1320	3330	627
1321	3330	627
1322	3330	627
1323	3332	619
1324	3335	616
1325	3337	613
1326	3337	613
1327	3340	608
1328	3342	605
1329	3344	602
1330	3344	602
1331	3346	597
1332	3349	594
1333	3349	594
1334	3351	588
1335	3351	588
1336	3353	583
1337	3356	580
1338	3358	577
1339	3361	574
1340	3363	571
1341	3365	569
1342	3368	566
1343	3370	563
1344	3376	561
1345	3378	558
1346	3378	558
1347	3378	558
1348	3380	550
1349	3383	547
1350	3383	547
1351	3385	541
1352	3391	539
1353	3394	536
1354	3394	536
1355	3396	531
1356	3398	528
1357	3398	528
1358	3398	528
1359	3404	520
1360	3406	518
1361	3409	515
1362	3411	512
1363	3413	509
1364	3416	506
1365	3418	504
1366	3420	501
1367	3423	498
1368	3428	496
1369	3431	493
1370	3433	490
1371	3436	487
1372	3438	484
1373	3441	482
1374	3443	479
1375	3446	476
1376	3448	473
1377	3450	471
1378	3453	468
1379	3455	465
1380	3457	462
1381	3460	459
1382	3462	457
1383	3465	454
1384	3467	451
1385	3469	448
1386	3472	445
1387	3474	443
1388	3476	440
1389	3479	437
1390	3481	434
1391	3481	434
1392	3483	429
1393	3486	426
1394	3486	426
1395	3486	426
1396	3488	418
1397	3490	415
1398	3490	415
1399	3493	410
1400	3495	407
1401	3495	407
1402	3495	407
1403	3495	407
1404	3495	407
1405	3495	407
1406	3498	390
1407	3498	390
1408	3500	385
1409	3502	382
1410	3504	379
1411	3507	376
1412	3509	374
1413	3512	371
